date,league,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,source_file
2019-08-25,Serie A,19-20,Udinese,Milan,1,0,H,11.0,6.0,6.0,0.0,9.0,4.0,14.0,11.0,1.0,3.0,0.0,0.0,3.75,3.3,2.05,Seire\19-20.csv
2019-08-25,Serie A,19-20,Verona,Bologna,1,1,D,5.0,14.0,2.0,5.0,1.0,6.0,12.0,13.0,1.0,3.0,1.0,0.0,3.4,3.2,2.25,Seire\19-20.csv
2019-08-26,Serie A,19-20,Inter,Lecce,4,0,H,16.0,10.0,7.0,4.0,7.0,7.0,14.0,8.0,1.0,2.0,0.0,1.0,1.22,6.25,13.0,Seire\19-20.csv
2019-08-27,Ligue 1,19-20,Montpellier,Lyon,1,0,H,19.0,14.0,5.0,4.0,8.0,2.0,14.0,11.0,2.0,4.0,0.0,1.0,3.6,3.4,2.05,Le Championnat\19-20.csv
2019-08-28,Ligue 1,19-20,Lille,St Etienne,3,0,H,16.0,9.0,7.0,4.0,3.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,2.2,3.2,3.4,Le Championnat\19-20.csv
2019-08-28,Ligue 1,19-20,Nice,Marseille,1,2,A,12.0,12.0,3.0,5.0,4.0,3.0,7.0,13.0,1.0,1.0,0.0,0.0,3.0,3.2,2.4,Le Championnat\19-20.csv
2019-08-30,Bundesliga,19-20,M'gladbach,RB Leipzig,1,3,A,11.0,14.0,3.0,6.0,9.0,5.0,17.0,19.0,3.0,2.0,0.0,0.0,3.2,4.0,2.05,Bundesliga\19-20.csv
2019-08-30,La Liga,19-20,Ath Bilbao,Sociedad,2,0,H,15.0,2.0,5.0,2.0,3.0,0.0,17.0,17.0,2.0,3.0,0.0,0.0,2.3,3.1,3.4,La Liga Primera Division\19-20.csv
2019-08-30,La Liga,19-20,Sevilla,Celta,1,1,D,19.0,2.0,5.0,1.0,9.0,1.0,16.0,9.0,4.0,2.0,0.0,0.0,1.53,4.2,6.0,La Liga Primera Division\19-20.csv
2019-08-30,Ligue 1,19-20,Metz,Paris SG,0,2,A,7.0,10.0,2.0,4.0,4.0,7.0,11.0,13.0,1.0,0.0,0.0,0.0,7.5,4.75,1.4,Le Championnat\19-20.csv
2019-08-30,Serie A,19-20,Bologna,Spal,1,0,H,18.0,7.0,9.0,1.0,11.0,2.0,13.0,13.0,3.0,2.0,0.0,0.0,1.8,3.5,4.6,Seire\19-20.csv
