date,league,home_team,away_team,market_H,market_D,market_A,nomarket_H,nomarket_D,nomarket_A,poisson_home_xg,poisson_away_xg,poisson_diff,market_pick,nomarket_pick,market_confidence,nomarket_confidence,models_agree,market_nomarket_disagree,actual_result,home_odds,draw_odds,away_odds
2021-09-11,La Liga,Levante,Vallecano,0.4455390086682369,0.294564990362368,0.2598960009693951,0.3631369184992749,0.3042843824236607,0.3325786990770644,1.4025979041343464,1.0531289675327218,-0.3494689366016246,H,H,0.4455390086682369,0.3631369184992749,True,False,D,2.1,3.4,3.5
2021-09-11,La Liga,Ath Bilbao,Mallorca,0.5648692533960264,0.2615707309586431,0.1735600156453303,0.4853502066079457,0.2870825839285504,0.2275672094635039,1.667269029013846,0.8801585789572152,-0.7871104500566309,H,H,0.5648692533960264,0.4853502066079457,True,False,H,1.72,3.6,5.25
2021-09-11,Bundesliga,Union Berlin,Augsburg,0.5697821023657337,0.2536690593565853,0.176548838277681,0.6268290529178441,0.2361105134579288,0.137060433624227,1.6629376173187478,0.893993293479653,-0.7689443238390948,H,H,0.5697821023657337,0.6268290529178441,True,False,D,1.7,3.75,5.0
2021-09-11,Bundesliga,RB Leipzig,Bayern Munich,0.2882857406828464,0.2718516247876929,0.4398626345294605,0.2591527862298496,0.204299733444048,0.5365474803261023,1.355226684427239,1.7562736689372829,0.4010469845100439,A,A,0.4398626345294605,0.5365474803261023,True,False,A,3.0,3.8,2.2
2021-09-11,Bundesliga,Leverkusen,Dortmund,0.2773632941646153,0.2700845927445288,0.4525521130908558,0.3573554932294889,0.2368984180145498,0.4057460887559612,1.3269614943138597,1.6930568738630254,0.3660953795491657,A,A,0.4525521130908558,0.4057460887559612,True,False,A,3.1,3.8,2.15
2021-09-11,Bundesliga,Hoffenheim,Mainz,0.473668037562871,0.2737267608690721,0.2526052015680567,0.4374484033781547,0.2656234055891208,0.2969281910327245,1.644668438576152,1.1941069016087411,-0.4505615369674109,H,H,0.473668037562871,0.4374484033781547,True,False,A,2.0,3.75,3.5
2021-09-11,Bundesliga,Greuther Furth,Wolfsburg,0.1497949972413994,0.2069331138375701,0.6432718889210303,0.2272977085000155,0.263361145021863,0.5093411464781215,0.989658715184098,1.983699893362166,0.994041178178068,A,A,0.6432718889210303,0.5093411464781215,True,False,A,5.5,4.33,1.57
2021-09-11,Premier League,Arsenal,Norwich,0.6552443050829746,0.2058503597368885,0.1389053351801369,0.7130991236899599,0.1948658298890405,0.0920350464209995,1.9520134020868776,0.8670864264756964,-1.084926975611181,H,H,0.6552443050829746,0.7130991236899599,True,False,H,1.5,4.6,6.0
2021-09-12,Ligue 1,Nantes,Nice,0.2625265619240781,0.2903601228178764,0.4471133152580456,0.3048548773443899,0.282640154842428,0.4125049678131819,1.1010555866456038,1.519744056030463,0.4186884693848591,A,A,0.4471133152580456,0.4125049678131819,True,False,A,3.3,3.4,2.2
2021-09-12,Premier League,Leeds,Liverpool,0.1901874727045771,0.2366593542636022,0.5731531730318207,0.200577839719464,0.2272409588918647,0.5721812013886712,1.122381845000246,2.047916348880706,0.92553450388046,A,A,0.5731531730318207,0.5721812013886712,True,False,A,4.33,4.0,1.75
2021-09-12,Serie A,Cagliari,Genoa,0.4739651915285885,0.285699080729308,0.2403357277421035,0.4254934198719626,0.2829109400431107,0.2915956400849266,1.6257392449394057,1.0737241883532167,-0.552015056586189,H,H,0.4739651915285885,0.4254934198719626,True,False,A,2.0,3.5,3.75
2021-09-12,Serie A,Milan,Lazio,0.421181815205342,0.2862551769760503,0.2925630078186076,0.4950156075142625,0.2515290836302974,0.25345530885544,1.4580926074410046,1.2911852204285668,-0.1669073870124378,H,H,0.421181815205342,0.4950156075142625,True,False,H,2.2,3.6,3.1
2021-09-12,Ligue 1,Montpellier,St Etienne,0.3552413980186145,0.2949176793506984,0.3498409226306871,0.4456069148013685,0.2815704037249682,0.2728226814736632,1.3151271402533329,1.453557191701163,0.13843005144783,H,H,0.3552413980186145,0.4456069148013685,True,False,H,2.55,3.5,2.7
2021-09-12,Serie A,Sampdoria,Inter,0.1626013312548656,0.222104442667011,0.6152942260781232,0.1522157077654759,0.2260126091694613,0.6217716830650628,1.0558090869358874,1.992169320976032,0.9363602340401448,A,A,0.6152942260781232,0.6217716830650628,True,False,D,5.0,4.0,1.61
2021-09-12,Serie A,Spezia,Udinese,0.2751718190777928,0.2950249029725811,0.429803277949626,0.421059932170103,0.2796682676761466,0.2992718001537505,1.151105085532379,1.4796596573267722,0.3285545717943932,A,H,0.429803277949626,0.421059932170103,False,True,A,3.2,3.4,2.3
